epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,46.794,0.71885,0.69445,1.02487,0.6626,0.5297,0.59514,0.37277,0.99053,1.27051,1.2367,0.000679204,0.000679204,0.000679204
55,47.6262,0.71726,0.66657,1.02926,0.67334,0.56398,0.59768,0.35052,1.06614,1.27992,1.26765,0.000665057,0.000665057,0.000665057
56,48.4596,0.77136,0.69315,1.05972,0.92184,0.44286,0.56841,0.36623,1.00794,1.22083,1.22612,0.000650909,0.000650909,0.000650909
57,49.2847,0.78303,0.72321,1.0893,0.88063,0.45647,0.57356,0.41756,0.95986,1.13088,1.18359,0.000636762,0.000636762,0.000636762
58,50.2015,0.74779,0.67813,1.0528,0.88517,0.44051,0.5286,0.36027,0.96732,1.21423,1.20308,0.000622615,0.000622615,0.000622615
59,51.0279,0.7357,0.70371,1.05173,0.80511,0.5063,0.5546,0.39702,0.89665,1.11122,1.15699,0.000608468,0.000608468,0.000608468
60,51.8625,0.73987,0.69197,1.02976,0.78987,0.43704,0.53073,0.39262,0.89628,1.21267,1.13717,0.000594321,0.000594321,0.000594321
61,52.6887,0.73591,0.65971,1.02255,0.68147,0.45026,0.50066,0.36981,0.92198,1.27734,1.17658,0.000580174,0.000580174,0.000580174
62,53.5379,0.74758,0.66641,1.03538,0.90657,0.44836,0.5041,0.36299,0.91671,1.23209,1.16202,0.000566027,0.000566027,0.000566027
63,54.3708,0.74492,0.70407,1.06375,0.90754,0.43979,0.50958,0.3485,0.91598,1.1035,1.14594,0.00055188,0.00055188,0.00055188
64,55.2017,0.66315,0.59264,1.01384,0.88604,0.44925,0.53,0.36663,0.85533,1.07469,1.13745,0.000537733,0.000537733,0.000537733
65,56.0203,0.68432,0.62516,1.03639,0.83767,0.44775,0.57195,0.39708,0.95008,1.09098,1.19883,0.000523586,0.000523586,0.000523586
66,56.8476,0.66453,0.64359,1.00768,0.89221,0.44916,0.57486,0.42426,0.92909,1.10354,1.20426,0.000509438,0.000509438,0.000509438
67,57.7675,0.62899,0.56413,0.97001,0.88158,0.43175,0.55101,0.40176,0.87373,1.10121,1.16442,0.000495291,0.000495291,0.000495291
68,58.5981,0.64275,0.63618,0.99665,0.88984,0.43175,0.54801,0.40742,0.9385,1.10747,1.18902,0.000481144,0.000481144,0.000481144
69,59.4159,0.66546,0.61618,0.98641,0.87527,0.44656,0.56467,0.40986,0.94884,1.12041,1.1793,0.000466997,0.000466997,0.000466997
70,60.251,0.6509,0.60977,0.99978,0.82608,0.42804,0.56753,0.3691,0.83153,1.12884,1.12463,0.00045285,0.00045285,0.00045285
71,61.0898,0.63335,0.59599,0.98435,0.75403,0.41874,0.49501,0.33587,0.87643,1.22704,1.14494,0.000438703,0.000438703,0.000438703
72,61.9373,0.68413,0.62965,1.04059,0.89842,0.4296,0.55018,0.40566,0.85962,1.08211,1.14842,0.000424556,0.000424556,0.000424556
73,62.7632,0.63383,0.57033,0.97977,0.89902,0.43175,0.55158,0.42082,0.83915,1.13009,1.15166,0.000410409,0.000410409,0.000410409
74,63.5944,0.61031,0.55912,0.9735,0.92234,0.42804,0.55211,0.4243,0.8615,1.1498,1.15219,0.000396262,0.000396262,0.000396262
75,64.4229,0.57838,0.52747,0.95748,0.88235,0.45965,0.54444,0.43053,0.87089,1.06391,1.14819,0.000382115,0.000382115,0.000382115
76,65.3429,0.62847,0.57385,0.98504,0.827,0.46517,0.55879,0.42358,0.86326,1.04177,1.13887,0.000367967,0.000367967,0.000367967
77,66.1754,0.65462,0.56648,1.0181,0.74631,0.55932,0.61793,0.47591,0.8708,1.10183,1.11718,0.00035382,0.00035382,0.00035382
78,67.0312,0.5882,0.50886,0.94968,0.76959,0.53802,0.61426,0.4526,0.89647,1.1568,1.12745,0.000339673,0.000339673,0.000339673
79,67.8619,0.60635,0.52593,0.99453,0.88062,0.44807,0.53634,0.42375,0.89514,1.16053,1.11424,0.000325526,0.000325526,0.000325526
80,68.6974,0.59159,0.5326,0.97924,0.89587,0.44656,0.51072,0.41535,0.83461,1.16084,1.1054,0.000311379,0.000311379,0.000311379
81,69.5241,0.57344,0.52236,0.9603,0.90201,0.45339,0.50807,0.40894,0.80138,1.14554,1.09048,0.000297232,0.000297232,0.000297232
82,70.3719,0.56662,0.51197,0.94778,0.87205,0.45397,0.51292,0.39082,0.82882,1.11813,1.10746,0.000283085,0.000283085,0.000283085
83,71.2116,0.58924,0.55407,0.97958,0.90369,0.43853,0.50561,0.37912,0.85912,1.19866,1.14131,0.000268938,0.000268938,0.000268938
84,72.0419,0.56057,0.50139,0.9397,0.92912,0.42901,0.50436,0.38165,0.83543,1.16018,1.12186,0.000254791,0.000254791,0.000254791
85,72.9679,0.5674,0.49654,0.95778,0.91432,0.44656,0.50399,0.38761,0.84225,1.16493,1.12006,0.000240644,0.000240644,0.000240644
86,73.7977,0.5613,0.51985,0.95508,0.89541,0.44286,0.50787,0.40832,0.84908,1.15407,1.10003,0.000226497,0.000226497,0.000226497
87,74.6262,0.59747,0.50125,0.9669,0.9408,0.42705,0.50915,0.41536,0.76478,1.10479,1.07799,0.000212349,0.000212349,0.000212349
88,75.4484,0.57003,0.50705,0.98033,0.88736,0.4435,0.51237,0.41068,0.75877,1.08143,1.07319,0.000198202,0.000198202,0.000198202
89,76.2752,0.55885,0.49096,0.95018,0.91176,0.45026,0.51761,0.40721,0.79193,1.08722,1.08318,0.000184055,0.000184055,0.000184055
90,77.1077,0.52706,0.4628,0.94204,0.92826,0.44856,0.52066,0.39181,0.8185,1.12045,1.09575,0.000169908,0.000169908,0.000169908
91,78.1527,0.48001,0.41512,0.87314,0.91256,0.43915,0.51113,0.40161,0.82919,1.16873,1.11013,0.000155761,0.000155761,0.000155761
92,78.9888,0.42448,0.37168,0.87702,0.94575,0.42804,0.50862,0.39078,0.82723,1.18838,1.11262,0.000141614,0.000141614,0.000141614
93,79.8972,0.44353,0.37721,0.86394,0.87174,0.45289,0.5131,0.37128,0.84482,1.20723,1.12878,0.000127467,0.000127467,0.000127467
94,80.7151,0.45987,0.40756,0.89866,0.90792,0.4542,0.51881,0.37733,0.85243,1.1708,1.1355,0.00011332,0.00011332,0.00011332
95,81.5406,0.39623,0.3459,0.85286,0.90134,0.45397,0.52816,0.38956,0.83444,1.14875,1.11727,9.91726e-05,9.91726e-05,9.91726e-05
96,82.3568,0.43568,0.36814,0.86383,0.90684,0.45249,0.53366,0.39812,0.81179,1.13257,1.11102,8.50255e-05,8.50255e-05,8.50255e-05
97,83.1652,0.42883,0.36597,0.89178,0.90449,0.45206,0.55775,0.43187,0.79809,1.12258,1.10958,7.08784e-05,7.08784e-05,7.08784e-05
98,83.9773,0.39678,0.33948,0.86841,0.93165,0.44402,0.5949,0.45246,0.7811,1.11127,1.10348,5.67313e-05,5.67313e-05,5.67313e-05
99,84.7955,0.40886,0.36562,0.88791,0.93101,0.44388,0.59541,0.45305,0.78405,1.12601,1.10649,4.25842e-05,4.25842e-05,4.25842e-05
100,85.6074,0.40969,0.34955,0.88207,0.93836,0.44345,0.59494,0.45427,0.7806,1.11965,1.09915,2.84371e-05,2.84371e-05,2.84371e-05
